text,sentiment,Time of Tweet,Age of User,Country
" MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",neutral,night,70-100,Honduras
studying with  and colette!,neutral,morning,0-20,Hungary
wants to wish all the moms out there (and moms-to-be) a very happy Mother`s Day!,positive,noon,21-30,Iceland
 it`s ok lol  I think we might do the same dates.,positive,night,31-45,India
Smiling!  These guys are!    Turn up your speakers and SMILE~life is good! http://www.imtiredonline.com/smile/,positive,morning,46-60,Indonesia
"wants to move to QLD already, this cold weather is killing me",negative,noon,60-70,Iran
"_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy",negative,night,70-100,Iraq
" ..ok brother...did you change your num and not give it to me, AGAIN??? smh..you no good dude",negative,morning,0-20,Ireland
_Claire its sunny here  I will send some over to you,neutral,noon,21-30,Israel
i think i need a drink,neutral,night,31-45,Italy
 I know. I was hoping to meet you tonite  & I just found out a few min ago that we have a mutual friend Cuong H.,neutral,morning,46-60,Jamaica
Bored to tears without my boys! They are at their dad`s for a week,negative,noon,60-70,Japan
 you can use my alotment,neutral,night,70-100,Jordan
"there is never anything on tv, on sundays. CAN`T WAIT for america",neutral,morning,0-20,Kazakhstan
i am Marina and i sware to God i`ll never again end up studying French till 2 o`clock at night EVER AGAIN...too much drama...sooo sleepy,negative,noon,21-30,Kenya
" then how come I`m not uber successful?  I`m not making the same mistakes, I`m making entirely new ones!",negative,night,31-45,Kiribati
changed my h/p number go online msn messenger to see,neutral,morning,46-60,Kuwait
it was actually so hot today ..the sun has got his hat on . every one has got a tan except me,negative,noon,60-70,Kyrgyzstan
" Thanks for the feedback. Surreal life, surreal oils",positive,night,70-100,Laos
 well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,negative,morning,0-20,Latvia
 - thanks!  it`ll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol,positive,noon,21-30,Lebanon
" was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside",neutral,night,31-45,Lesotho
Well done doing blood work..its hot out again,neutral,morning,46-60,Liberia
_peer you ll soon be back  just replace topify email in twitter settings and that s all,neutral,noon,60-70,Libya
mad traffic,negative,night,70-100,Liechtenstein
"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",negative,morning,0-20,Lithuania
International Version of Stand By Me http://tiny.cc/pAVYi PlayingforChange.com,neutral,noon,21-30,Luxembourg
 You live dat glamorous life.,positive,night,31-45,Madagascar
Rachael makes me want to cry,negative,morning,46-60,Malawi
 yeah talking to you was too boring,negative,noon,60-70,Malaysia
_another_1 yeh I can`t even imagine.... good luck to them,positive,night,70-100,Maldives
Happy Mommy`s Day to all the mothers in the world!,positive,morning,0-20,Mali
I Want To Go See Up. But I Don`t Want To Go With My Mom And Brother.,negative,noon,21-30,Malta
" Ooh, coffee!  Great idea...  want one??",positive,night,31-45,Marshall Islands
need to pass the exams,neutral,morning,46-60,Mauritania
"Star Trek in IMAX  with Kojikun, seastar, Brian, and George.",neutral,noon,60-70,Mauritius
 I totally agree! And there`s no way to avoid it,neutral,night,70-100,Mexico
 ... but i could barely speak! He was probably thinking `who is the weirdo?` LOOOOL. Say sorry to him for me please?  x <3,negative,morning,0-20,Micronesia
It`s tough being a thick chik,negative,noon,21-30,Moldova
"http://pic.gd/63ef My college, My friends",neutral,night,31-45,Monaco
 I`m bummed...you`re gonna be only 30 minutes from me on Sunday & I can`t come hear ya.,negative,morning,46-60,Mongolia
"working away just now, hopefully it stays nice for the afternoon and evening! possible BBQ weather!",positive,noon,60-70,Montenegro
 Nothing like alone time with your handheld device,positive,night,70-100,Morocco
be back later!  HAPPY MOTHER`S DAY TO ALL THE MOTHERS IN THE WORLD! Ã¯Â¿Â½ GOD LOVES US ALL!,positive,morning,0-20,Mozambique
isnt very happy about the fact that her back is hurting today,negative,noon,21-30,Myanmar (formerly Burma)
May the 4th Be with you all!,neutral,night,31-45,Namibia
Feeling special @ looking4him first guy to give me flowers.,positive,morning,46-60,Nauru
goodnight to all.,positive,noon,60-70,Nepal
http://tinyurl.com/nqudrt - Hurt my finger at work,negative,night,70-100,Netherlands
Rachel Alexandra not in Belmont   but appearing in Vogue.  Best looking model they`ve had in years.,positive,morning,0-20,New Zealand
off to bed was gonna read some new moon but its a little late now  night night all ****,neutral,noon,21-30,Nicaragua
"The pushing has started, not long before a new #starwarsday baby is born",neutral,night,31-45,Niger
Happy Mothers Day!  Love your Mom...,positive,morning,46-60,Nigeria
 Munderday. I like that.,positive,noon,60-70,North Korea
"  dudes, c`mon - that`s almost the ghey!",neutral,night,70-100,North Macedonia
"  i`ll visit ny `til september, no diggnation for me",neutral,morning,0-20,Norway
on the way to kuya jordan`s house for an O`s sleepover  !,neutral,noon,21-30,Oman
"_indian hehe very true  but you`ve got the color advantage, which the complete americans haven`t",neutral,night,31-45,Pakistan
" Good morning hun! I will, promise  Glad you like `em. Have a lovely day :o)",positive,morning,46-60,Palau
It`s 10.30pm on a Friday night and I`m going to bed. How pathetic.,negative,noon,60-70,Palestine State
Thank you for the advice   I`ll work on that when Im not at work.,positive,night,70-100,Panama
is new to twitter and has no friends here... or should i say followers?,neutral,morning,0-20,Papua New Guinea
the mum`s cake is done.. now i need make a good luch and tomorrow will be an amazing Mum` day,positive,noon,21-30,Paraguay
definitely ready for a plate of pancakes.,positive,night,31-45,Peru
 I saw that!!!!,neutral,morning,46-60,Philippines
"But I am on pg 145 of 165, so I`m getting close!  *yawn*",neutral,noon,60-70,Poland
I`m SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i`m alone on maui,negative,night,70-100,Portugal
" july 21st!?? that means at your concert I won`t know all the songs.  oh well, yay demi!! <3",neutral,morning,0-20,Qatar
"Sh t, I`m getting even more sad. I`m currently at the library and j think it`ll be the last one tooooo",negative,noon,21-30,Romania
claires party was amazing!    headache.,neutral,night,31-45,Russia
hooome from work. why am i awake still? up in 5 hours,neutral,morning,46-60,Rwanda
"Hi, i was just getting up now so i tought i could write something. Today i`m gonna go shopping! Soo fun, isn`****?",positive,noon,60-70,Saint Kitts and Nevis
 I am doing fantastic JJJ!  You? Doing your questions already? teacher`s pet!!,positive,night,70-100,Saint Lucia
 oh that stinks..,negative,morning,0-20,Saint Vincent and the Grenadines
Cleaned. Laundry. Nails painted. Productive saturday night,positive,noon,21-30,Samoa
 ****,negative,night,31-45,San Marino
_cupcakes  sometimes plugging it into 240 can fix problems..,positive,morning,46-60,Sao Tome and Principe
Its a lovely day sky is clear birds are singing and i`m stuck in an office with on windows for 9 hours,neutral,noon,60-70,Saudi Arabia
Downtown drinking celebrating the cavs victory!!!,positive,night,70-100,Senegal
One taken from earlier this week!  http://twitpic.com/4wb42,neutral,morning,0-20,Serbia
can`t figure out at what time(french hour) the new moon trailer will be up since I can`t watch the MTV movie Awards from Paris... ?,neutral,noon,21-30,Seychelles
Ps... I got Ben Button today... completes my Best Picture noms....got all 5 now. It was a GREAT year!!,positive,night,31-45,Sierra Leone
 - and yes i like the vids,positive,morning,46-60,Singapore
" Heh.  When I moved into my house Pius was having a pep rally, so there was cheering and a band.",neutral,noon,60-70,Slovakia
My best friend is away at special olympics . She said she was gonna bring me .,positive,night,70-100,Slovenia
Well that just sucks. Good way to make me feel bad,neutral,morning,0-20,Solomon Islands
"the big boss is out all week.. small yay. free lunch for the office today, big yay!",neutral,noon,21-30,Somalia
"Already 26.1c in our office. Can people melt? We`re fighting for air con because fans just don`t help, but can`t find the budget",negative,night,31-45,South Africa
"Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning",neutral,morning,46-60,South Korea
_in I loved that movie! And I miss Raul Julia.,neutral,noon,60-70,South Sudan
"my car is in at the garage & is not coming out anytime soon! last time I heard the gearbox was the problem, still waiting for the quote.",negative,night,70-100,Spain
I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee,neutral,morning,0-20,Sri Lanka
"The sun is attempting to increase her efforts. Alas the same cannot be said for me. I see a bath, a couch & a book in my immediate future",negative,noon,21-30,Sudan
booo that meanie  is teasing me with a piece of cheese!   http://twitpic.com/67rt8,neutral,night,31-45,Suriname
not a lonely day after all.,neutral,morning,46-60,Sweden
wtf my pic isn`t showing,negative,noon,60-70,Switzerland
ahh my poor feeeeeet,negative,night,70-100,Syria
Happy Mom`s Day to everyone in the US,positive,morning,0-20,Tajikistan
"****, nearly forgot my PIN  I shouldn`t try to learn anything new in the future lest it push out more vital information.",negative,noon,21-30,Tanzania
"THIS TWITTER **** KAN EAT THE GUN NOW ....AN I DON`T EVEN BE GOIN IN SMFH, OVER REACTIN 4 NOTHIN, I NEED 2 STAY STRONG",neutral,night,31-45,Thailand
I`m in French and we don`t have a teacher.  One hour left til school ends.,negative,morning,46-60,Timor-Leste
The Good: I drank Jager and licked a hot asian girl`s foot. The Bad: I was reminded once again that I will never get asian girls ever.,neutral,noon,60-70,Togo
" I think they`re really good, so that probably damns them to obscurity.",positive,night,70-100,Tonga
 Don`t know yet  Lemme know if you come up with something though.,neutral,morning,0-20,Trinidad and Tobago
ummmm i have no idea what im doing but my friend is pissed off at me now and i dont know why she hates me so much I NEED HELP BRITNEY plz,negative,noon,21-30,Tunisia
 she will,neutral,night,31-45,Turkey
  ugh headache   i just wanna go home,negative,morning,46-60,Turkmenistan
Yes!! i has 100 minutes of Sims 2 plus Seasons  ) fun fun expansions,positive,noon,60-70,Tuvalu
Definition of senioritis: Me. About to go to chem II and calculus. Not good classes to feel like slackin,negative,night,70-100,Uganda
" - No hard feelings, I hope  Like I say, I think we agree with each other.",positive,morning,0-20,Ukraine
aww dude.. no fair. i thought that was the point of this thing,negative,noon,21-30,United Arab Emirates
CHILLAXIN AT WORK...MAN I SCREWED UP,negative,night,31-45,United Kingdom
 clearly need to crack the whip some more,negative,morning,46-60,United States of America
 This was at Pitman`s down South. It just looks like business is bad all over,negative,noon,60-70,Uruguay
Such a headache  It`s killen me!,negative,night,70-100,Uzbekistan
Happy Mother`s Day x3 ..Mum? I love you,positive,morning,0-20,Vanuatu
Took a 4 hour nap after work today and won`t be able to sleep all night    This is a bummer,neutral,noon,21-30,Venezuela
Strike one.    (Three and I`m out.),negative,night,31-45,Vietnam
Been job hunting for days. Media and non-media jobs. No lucky  Anyone know of anything???,neutral,morning,46-60,Yemen
: yes  and ily,positive,noon,60-70,Zambia
"Sasha`s helped too, of course",neutral,night,70-100,Zimbabwe
Really wants to buy new clothes,neutral,morning,0-20,Afghanistan
 HAHAH you know you loved the hannah montana movie  it was aweesome,positive,noon,21-30,Albania
mcfly anit been on here in ages  z,neutral,night,31-45,Algeria
Another long walk in the heat... I hate this...,negative,morning,46-60,Andorra
